YEAR,1310NAS0034,0703DER0139A,0705DUC0222,0705COM0333,0906BUT0054,0403SIL0115,0703CAZ0153,0706OWA0212,0703TUS0153A,0801SEC0782B,0906BLA0001,0906BON0024,0201CUB0115,0202CHA0122,0202FIN0153,1302WAC0117,1401ANA0251,1404OQU0383,1402WOL0037,1104BRA0347,1104GOO0672A,1104GAR0520,1104SAC0314,0602LEB0153,0602EAR0146,0602MOR0152,0402CON0067,0601CAN0392,0602EAT0163,0602MEL0039,0602PET0078,0602CRO0073,0602BRA0154,0602HAT0155,1701LFR0662,1302CAR0062A,1501LUC0982B,0303NOR1041,0302SOD0096,1310COP0108,1308ROB0902,1104SCH0374,1102BAB1109,1204MAD1051,1005GLE0441,1310QUE0057
1995,716.1650739,761.1080627,711.0995483,830.2113037,701.7585983,756.8365391,776.2284241,797.4746782,782.758606,758.9877407,713.2772635,735.2423401,758.590898,907.326258,859.5326538,688.3059285,751.7616577,707.869316,783.1642106,610.8481445,687.175588,705.6542969,797.5631348,692.2340088,630.6130782,661.1053345,586.1320013,702.6152521,774.692627,776.026905,716.5264893,807.4554295,748.427114,749.3752094,666.6150504,580.4854736,735.1173444,1048.595571,667.9607035,692.0506827,718.599595,620.130588,886.456271,665.4032713,630.1285604,754.4177937
1996,897.2498343,1034.271973,918.692627,1079.919373,734.4768982,1018.738892,1003.443497,1045.346422,1043.796875,832.2665725,751.0861701,783.5520935,1115.820168,1352.668579,1415.820679,1019.029826,1032.213379,949.4287556,1133.43736,692.8564238,730.8468221,814.37087,877.592511,949.3945923,888.7081105,905.9632568,902.1752693,911.3381308,1032.540497,1055.65348,916.7075195,1102.220288,999.4781095,1000.784204,1042.439631,1026.023438,1136.868914,1174.374333,944.5140889,888.4493461,962.5496036,686.7410328,941.1984439,904.6095359,751.7938029,954.6037352
1997,661.3515712,834.5925293,782.5536804,877.5856861,759.4547272,869.4022217,867.6572266,833.6892923,865.575592,832.161778,786.9102485,786.9399948,914.1578924,1214.271887,1181.59668,850.7898356,729.9306641,694.9176216,746.3795938,639.6289888,650.7334035,734.9603475,897.7128601,768.7835693,674.4950021,757.325769,673.2847743,763.441206,854.7495117,738.8837962,669.0463867,867.590355,816.1054236,817.0569474,761.2010041,787.7142944,812.8069371,1136.067547,794.1012141,685.6973636,726.2861795,605.0902557,700.2658903,763.7752047,706.7848409,753.8494486
1998,719.6274211,920.9098206,867.6987305,943.4609864,780.3737564,873.8048553,929.2750397,907.343634,935.0422974,925.8204288,797.880638,820.3261185,825.0152976,852.9327733,850.0961914,937.0331996,828.0442505,829.1955958,893.4486141,721.5564204,700.9619649,772.1597748,851.2676866,871.4972534,814.7033666,834.1402995,761.5080082,830.735562,910.6050212,856.3090173,819.2728586,972.0183152,890.2377495,892.7569471,955.3219222,813.5319519,882.6905169,1056.136927,908.551384,730.2074481,763.1001205,724.1038109,808.0757446,838.3073575,720.5680455,781.2716306
1999,488.6954476,717.467804,710.3622742,874.711731,517.7460709,722.5458287,696.4774323,850.4171078,691.2599182,561.9865432,519.4131063,531.8334427,716.3746615,880.4465002,829.9857483,610.3562622,616.9251099,621.3158592,672.4421244,463.6702001,496.135615,524.8639221,594.7922729,603.2133484,542.7290616,555.4859497,564.8783254,555.9590592,680.5505371,730.2475073,661.6483154,818.8346789,654.0864749,656.0142743,549.1441822,550.9376831,648.778547,767.0043007,661.301712,529.6810963,540.5512049,481.4264115,560.2239581,558.1271493,451.8273926,531.4950859
2000,943.3772583,1159.209961,997.723877,1146.77832,881.0413208,998.2741961,1162.321198,1117.682129,1215.889099,959.3563872,915.2317364,909.8690262,1009.491588,1161.302911,1169.934387,899.7238159,1061.613892,1041.050754,993.2269959,757.3499181,692.930776,841.4313354,896.0351807,1130.749268,1080.742635,1108.209766,830.378857,1135.340935,1200.587585,1168.921218,1114.431274,1170.325376,1158.987956,1160.87257,709.0221408,910.957428,909.4109235,1273.574073,987.7063573,912.5164905,937.2144416,709.5162698,1013.500962,1107.739752,803.4354553,964.0197227
2001,552.2070051,891.2479553,739.5743713,868.7581482,629.32621,734.5089199,907.4259644,822.9265325,933.7170715,808.2940994,664.128003,680.3601837,724.797502,904.3817419,927.4959412,777.5820109,662.5830078,653.5857386,652.7287423,518.2272788,559.0573324,575.1315715,642.2640991,814.4049072,720.7790928,768.9985352,595.5005336,690.2918248,923.752594,798.5837138,713.2371216,894.9437821,880.0456319,881.11322,761.4288194,721.3141479,697.2555716,963.3254067,726.7711182,556.4605896,599.8538459,505.4530361,564.8691576,782.8781151,521.1546631,639.1918703
2002,829.4317017,1033.250671,895.1798401,1017.790283,740.9382706,940.0101493,1046.896484,969.759802,1094.062561,928.2762073,772.7511592,781.3916626,979.3370528,1241.241853,1193.067932,738.2679036,835.8695068,841.23048,792.0629829,713.1812385,639.0958049,811.9480794,860.065625,1011.160645,942.8468305,989.5945679,743.0630631,949.4343419,1083.527954,975.9200047,848.9431763,1041.680959,1053.821684,1055.267333,740.8112887,681.0518799,717.5247803,1192.629865,887.4838231,702.9615698,731.2429056,687.0560074,1024.627843,993.9430816,819.1686605,791.5373203
2003,746.670384,1014.152405,863.7193298,965.2541504,759.890274,830.6798532,1018.047852,918.1059681,1108.972107,839.5563384,778.6815139,776.9860992,931.4666249,1091.219773,1134.473206,875.1853231,865.1292114,878.9337631,881.9430886,647.2927426,636.5104574,724.7959798,778.0844543,995.0293579,902.0796267,935.6918701,729.8825999,863.3851279,1094.908508,937.6565413,846.5261841,1001.773938,1054.167001,1056.007807,762.6292315,898.2776794,881.5619594,1235.677883,892.9302622,721.1658048,748.4342615,609.470012,732.9971216,948.7842329,722.4417318,753.381444
2004,677.0671038,896.3609009,833.4442749,959.719635,583.7426758,841.75,877.093811,949.5507825,876.5221252,637.3395008,589.5330297,584.4670029,860.4273904,933.4205164,963.1226196,870.7704875,851.4563599,875.3164276,813.354289,586.9164824,563.771698,642.947876,686.9413513,806.7649231,747.5042688,757.2634644,763.3769295,719.4026706,864.6200867,863.2402832,808.2593994,980.5695812,831.4926153,832.8316974,559.9958596,951.832428,811.4947597,758.2000837,844.5423635,655.7392398,671.4631922,561.5342377,741.1384487,763.6869234,594.2886759,681.5064325
